24879,20271,17455,19503,14383,19247,20271,20527,15919,22831,18479,19247,15663,15407,11567,11823,7727,9519,10287,15663,19759,21295,22575,18479,17967,21551,25391,27951,25391,20527,22063,25647,29231,25391,26927,27951,27183,33839,34863,35119,38191,36143,33583,38703,38447,43567,45871,53295,59695,65071,15664,16432,29744,35376,57392,35121,42801,43569,9778,39730,42802,59186,5939,20787,27699,25395,24627,51763,29235,15411,15667,12339,61234,55858,43058,33074,30770,10034,47153,46129,23345,40751,28975,28975,23087,21807,19247,20527,16943,19247,15663,18223,4399,64302,303,53806,40750,29486,23342,20526,18222,12846,10286,8238,9518,7214,5422,1838,65325,46,1070,63789,59437,61229,61997,62509,61741,56109,55853,53037
20527,16431,17967,14639,16687,15151,18223,14383,15151,15151,19759,18991,21295,21039,14127,7983,7727,9007,10287,13359,20015,27183,26415,21039,18479,24879,23087,26159,27183,21807,27695,32559,32303,27695,25391,24111,23599,28463,28719,41775,44079,50991,34607,40751,40751,42799,46383,48431,5936,13360,15920,20528,28464,35632,2353,41521,54577,13618,819,63026,16691,12339,22323,37171,40243,46387,28980,35124,63796,17204,39987,33587,13875,4147,60722,41010,37426,59442,10290,63793,37425,40239,33839,23087,22575,19247,19759,19503,15919,17711,14895,9007,7983,60974,52526,37934,30254,28462,24110,18222,14894,11822,12334,10030,4910,5422,5166,46,2606,1838,2094,61741,59949,60461,60205,58157,54829,56877,54317,59693
19503,21551,16431,14383,23087,21039,21039,15151,12591,16175,16687,17967,23599,21551,19503,10543,7983,11055,11823,10543,21295,28207,32303,24879,19247,25391,24111,22831,22831,22063,34607,35631,37167,32559,26671,26671,31023,29743,34351,37167,45359,47407,38191,37423,39983,45103,53295,54063,18480,16944,17456,25904,28976,48176,4657,53041,3890,2355,12083,19763,21811,32051,38451,59187,564,15156,44852,17973,6709,14901,8756,58931,43059,23347,17715,1075,2355,59698,31026,10802,56881,40495,31535,24623,19247,20271,21551,21039,14895,15151,12335,4143,62510,46894,42798,31534,23598,17198,16942,15406,15150,15662,14638,10030,9518,5934,3630,6446,3630,2862,814,64301,64813,61229,58157,55597,57389,59437,56877,56109
20271,18991,13103,15919,16943,24879,16943,14383,11823,15151,20271,16943,19503,25391,17199,12079,9263,7727,15151,16431,20783,28719,31279,25903,25135,19503,26159,24367,20527,22319,28207,35119,35887,32047,29231,30511,28207,31791,36655,41519,49711,43567,39215,39215,39983,45359,55855,58671,13616,23600,21552,26928,33840,43824,2097,60977,17714,2099,65330,5683,49971,60979,60211,16692,29492,38452,50740,6709,49461,33333,42036,24372,62771,45875,35379,11059,5939,26419,53042,35378,3634,47407,29487,25903,25647,20527,15663,17967,9519,8495,47,59438,46638,43566,27694,27694,21038,13358,16686,14638,14382,15150,13870,13614,7982,7470,9006,4654,2606,4910,65325,1582,62765,59437,63789,58925,55597,59693,59437,57645
19247,15151,18223,18479,15407,16687,13615,10799,11311,12591,13871,22319,17455,18991,17199,13359,7983,12335,12079,17967,16687,22831,26159,23087,22319,20527,25647,26927,24367,23343,27695,30511,30511,27951,24623,25391,29999,31791,32303,34607,39215,39983,38191,41775,45871,52527,58671,61999,10544,18736,22320,29232,33328,48176,4401,12850,40498,54066,33587,62771,10036,15156,20532,48436,62516,4917,18741,37429,54,39477,20277,53,35636,5940,61747,50227,35891,23859,3123,59954,20786,48687,27951,27183,25135,20015,20015,13871,10287,1071,57646,49198,43054,34094,24622,21038,17454,15662,13870,14382,13614,14126,10798,6702,8238,8238,7470,10030,2606,64813,1838,63277,58413,59181,63533,60205,57389,57133,56365,56365
18479,20015,15663,18991,15151,18223,14639,12847,11311,14383,13103,16943,17455,14895,13871,13871,7215,12591,11311,18991,21295,22319,24367,21295,21295,21295,23855,31791,24111,24367,27183,28975,28463,25903,24623,27183,32559,37167,32047,35375,35375,35375,39471,39471,48687,52015,60463,65071,6704,12336,23856,28720,40240,49456,12081,32818,3379,47155,9268,21300,26932,42292,46132,18741,27701,49461,32054,32822,21814,61493,56885,32821,61236,26676,20532,4148,52787,38195,17459,9523,34610,54319,32815,27951,26159,17199,13871,4143,3887,50222,40238,33326,29998,22062,22062,20526,15918,16686,15406,13102,15662,12846,12078,11054,10286,10798,8238,6446,6446,3118,3374,46,59693,61229,60973,61997,57389,62765,56621,57389
16943,17455,10543,15151,14639,16431,12335,11311,5679,12591,14639,15919,18991,16943,13615,11823,11055,12591,15663,21039,21295,19503,22063,22063,19247,22063,23855,26671,23343,28719,25391,27439,27695,26159,20271,25903,29487,32815,30511,36399,33327,40239,41775,45359,47407,51503,62511,1584,13104,17200,22576,33328,42800,58416,15665,37426,11059,63795,22580,37428,45108,47668,54836,13877,37173,57141,26166,27702,31798,35382,23094,64053,18485,44852,30260,21556,1588,51507,31795,22579,49202,56623,34863,29487,25391,17967,9007,65326,52526,38190,36654,27438,28462,25646,20270,18222,16942,17198,16430,15406,14382,12078,14638,11822,7982,8238,9774,6446,4654,46,65069,61997,61229,62765,59437,58669,55341,54317,61741,56365
17711,18991,17711,10287,17199,12335,13359,8495,12335,6959,10031,12079,12335,13359,11823,7471,13871,13359,15151,19503,20783,16943,18479,19247,18991,19247,19759,25647,24879,27439,24367,27439,28975,28463,23343,25903,27439,31535,27951,27439,31023,31791,38447,45615,47151,58415,61999,4400,8240,15920,21040,31792,43312,59952,19761,49202,31027,11060,33076,47412,55860,55348,54068,9013,37941,58677,24886,33590,40246,50998,39734,25142,37173,59188,48180,33844,15412,62259,46899,31027,50994,57647,28207,25647,18223,14383,9007,63790,50734,34606,28974,28206,24366,18734,19502,16942,18990,19758,14126,16942,11054,11310,10798,9518,10030,6190,3630,8238,2862,5166,46,63789,64557,63277,56621,56877,57645,54829,57133,55085
11823,8751,9007,13359,15919,10799,5679,7983,3119,5679,6447,9519,12335,7727,9007,8751,7983,12335,14639,16687,16943,15663,15663,15407,13615,20527,18735,23855,23087,23599,28207,29743,26671,22319,24367,25647,29487,28975,29487,28975,31279,36143,41519,39727,46639,56111,65071,7472,12592,15152,25136,39216,50992,61744,2097,54322,40499,14132,32308,52276,58932,54324,54580,9525,44853,58677,21302,23350,37174,50998,48694,24886,52789,1589,50484,32308,17972,62771,46643,24115,56114,54831,30255,23855,17711,14383,7215,59182,48430,39726,29486,26926,25134,19246,18990,16942,18734,17710,14638,15918,13870,12846,12334,11822,10542,7726,8238,4142,5934,6702,1070,63277,61997,59437,62253,60973,57645,52013,55085,56365
12847,11311,10031,8239,9519,5423,5167,64302,64302,1327,7215,3631,10031,2863,3631,815,4911,8239,11823,13615,16943,14639,15663,16943,17967,13615,17455,23087,23343,28719,27183,27695,29231,27951,23599,24111,29999,33327,32559,36143,35887,39215,40239,45871,49199,63023,2864,6704,15408,24112,32816,42544,54064,817,3377,59186,42803,11828,27956,44852,53300,51508,54068,13109,45365,64821,15926,17718,23606,33590,32566,17718,42037,58676,43316,18740,1332,50483,33331,16691,50738,56623,23343,24623,12335,13359,7215,59438,47918,38702,29230,29486,20782,21294,22574,22318,16686,17710,17454,11822,13870,11566,11566,12846,8750,9006,10030,5678,3886,6190,1326,558,64813,61229,61741,57901,59949,59181,57133,57133
